,ID,Congressional District,Call Date,Disposition,Q1
0,32539,9,09/28/2020,Answered,Refused
1,162619,7,10/02/2020,Bad Number,None
2,77120,12,09/29/2020,Left Message,None
3,137498,12,10/01/2020,Bad Number,None
4,150741,6,10/02/2020,Left Message,None
5,37683,11,09/28/2020,Left Message,None
6,127627,2,10/01/2020,Left Message,None
7,68310,10,09/29/2020,Left Message,None
8,60572,8,09/29/2020,Left Message,None
9,89203,9,09/30/2020,Answered,Refused
10,139792,15,10/01/2020,Left Message,None
11,127599,2,10/01/2020,Left Message,None
12,136274,12,10/01/2020,Bad Number,None
13,92505,11,09/30/2020,Answered,Refused
14,8332,1,09/28/2020,Left Message,None
15,62009,8,09/29/2020,Left Message,None
16,82583,14,09/29/2020,Bad Number,None
17,85289,15,09/29/2020,Bad Number,None
18,150166,6,10/02/2020,Left Message,None
19,8567,1,09/28/2020,Left Message,None
20,4042,1,09/28/2020,Wrong Number,None
21,129831,8,10/01/2020,Left Message,None
22,55358,15,09/28/2020,Left Message,None
23,105468,13,09/30/2020,Bad Number,None
24,61954,8,09/29/2020,Left Message,None
25,61831,8,09/29/2020,Left Message,None
26,52107,14,09/28/2020,Left Message,None
27,36341,10,09/28/2020,Bad Number,None
28,77076,12,09/29/2020,Left Message,None
29,68677,11,09/29/2020,Bad Number,None
30,45275,12,09/28/2020,Left Message,None
31,160947,7,10/02/2020,Left Message,None
32,116191,2,10/01/2020,Left Message,None
33,134133,11,10/01/2020,Bad Number,None
34,129958,8,10/01/2020,Left Message,None
35,143422,3,10/02/2020,Answered,Yes
36,50706,13,09/28/2020,Bad Number,None
37,104948,13,09/30/2020,Answered,Yes
38,36153,10,09/28/2020,Left Message,None
39,44032,12,09/28/2020,Left Message,None
40,136193,12,10/01/2020,Bad Number,None
41,97713,12,09/30/2020,Left Message,None
42,823,1,09/28/2020,Left Message,None
43,74743,12,09/29/2020,Answered,No
44,57888,15,09/28/2020,Bad Number,None
45,85105,15,09/29/2020,Left Message,None
46,159519,7,10/02/2020,Left Message,None
47,110586,15,09/30/2020,Left Message,None
48,89733,9,09/30/2020,Bad Number,None
49,159535,7,10/02/2020,Left Message,None
50,104176,13,09/30/2020,Left Message,None
51,146860,3,10/02/2020,Bad Number,None
52,110874,15,09/30/2020,Bad Number,None
53,146466,3,10/02/2020,Left Message,None
54,123263,2,10/01/2020,Left Message,None
55,22183,1,10/01/2020,Wrong Number,None
56,142249,3,10/02/2020,Left Message,None
57,112943,1,10/01/2020,Answered,Yes
58,64706,9,09/29/2020,Left Message,None
59,107971,14,09/30/2020,Left Message,None
60,43411,12,09/28/2020,Left Message,None
61,68468,10,09/29/2020,Left Message,None
62,136682,12,10/01/2020,Bad Number,None
63,95532,11,09/30/2020,Bad Number,None
64,71981,11,09/29/2020,Left Message,None
65,132959,11,10/01/2020,Left Message,None
66,126624,2,10/01/2020,Left Message,None
67,43060,12,09/28/2020,Left Message,None
68,23169,1,10/01/2020,Wrong Number,None
69,36296,10,09/28/2020,Answered,Yes
70,22455,1,10/01/2020,Wrong Number,None
71,79668,13,09/29/2020,Answered,No
72,81536,14,09/29/2020,Left Message,None
73,155952,6,10/02/2020,Answered,No
74,47741,12,09/28/2020,Bad Number,None
75,126926,2,10/01/2020,Left Message,None
76,156270,6,10/02/2020,Left Message,None
77,113486,1,10/01/2020,Answered,Refused
78,87364,8,09/30/2020,Left Message,None
79,90808,10,09/30/2020,Left Message,None
80,4065,1,09/28/2020,Wrong Number,None
81,140176,15,10/01/2020,Answered,Yes
82,133379,11,10/01/2020,Bad Number,None
83,163095,8,10/02/2020,Left Message,None
84,4848,1,09/28/2020,Wrong Number,None
85,129955,8,10/01/2020,Bad Number,None
86,43945,12,09/28/2020,Left Message,None
87,94449,11,09/30/2020,Left Message,None
88,35054,10,09/28/2020,Bad Number,None
89,161416,7,10/02/2020,Left Message,None
90,41049,11,09/28/2020,Bad Number,None
91,138368,13,10/01/2020,Bad Number,None
92,82606,14,09/29/2020,Left Message,None
93,53398,14,09/28/2020,Bad Number,None
94,34563,9,09/28/2020,Left Message,None
95,2889,1,09/28/2020,Wrong Number,None
96,84157,15,09/29/2020,Left Message,None
97,41144,11,09/28/2020,Left Message,None
98,151138,6,10/02/2020,Left Message,None
99,133342,11,10/01/2020,Bad Number,None
100,114783,1,10/01/2020,Answered,No
101,85020,15,09/29/2020,Answered,Refused
102,108387,14,09/30/2020,Bad Number,None
103,43141,12,09/28/2020,Answered,No
104,69655,11,09/29/2020,Left Message,None
105,151988,6,10/02/2020,Answered,Refused
106,135159,11,10/01/2020,Left Message,None
107,56210,15,09/28/2020,Bad Number,None
108,97207,12,09/30/2020,Answered,Refused
109,76939,12,09/29/2020,Left Message,None
110,157766,7,10/02/2020,Bad Number,None
111,113097,1,10/01/2020,Answered,No
112,26036,1,10/01/2020,Wrong Number,None
113,35990,10,09/28/2020,Bad Number,None
114,121661,2,10/01/2020,Left Message,None
115,30701,8,09/28/2020,Left Message,None
116,130198,8,10/01/2020,Bad Number,None
117,24928,1,10/01/2020,Wrong Number,None
118,96486,11,09/30/2020,Left Message,None
119,23624,1,10/01/2020,Wrong Number,None
120,68743,11,09/29/2020,Left Message,None
121,145983,3,10/02/2020,Bad Number,None
122,26587,1,10/01/2020,Wrong Number,None
123,24560,1,10/01/2020,Wrong Number,None
124,154765,6,10/02/2020,Left Message,None
125,115947,2,10/01/2020,Left Message,None
126,124158,2,10/01/2020,Left Message,None
127,158004,7,10/02/2020,Left Message,None
128,150353,6,10/02/2020,Left Message,None
129,100193,12,09/30/2020,Left Message,None
130,159513,7,10/02/2020,Left Message,None
131,14810,1,09/29/2020,Wrong Number,None
132,15215,1,09/29/2020,Wrong Number,None
133,22658,1,10/01/2020,Wrong Number,None
134,131576,9,10/01/2020,Bad Number,None
135,30853,8,09/28/2020,Answered,Refused
136,62486,8,09/29/2020,Bad Number,None
137,149718,6,10/02/2020,Left Message,None
138,143807,3,10/02/2020,Left Message,None
139,1631,1,09/28/2020,Wrong Number,None
140,156964,6,10/02/2020,Left Message,None
141,161850,7,10/02/2020,Left Message,None
142,36514,10,09/28/2020,Bad Number,None
143,93421,11,09/30/2020,Bad Number,None
144,3946,1,09/28/2020,Wrong Number,None
145,99231,12,09/30/2020,Answered,Refused
146,38294,11,09/28/2020,Left Message,None
147,128925,8,10/01/2020,Left Message,None
148,160709,7,10/02/2020,Left Message,None
149,35778,10,09/28/2020,Left Message,None
150,132380,10,10/01/2020,Bad Number,None
151,93606,11,09/30/2020,Bad Number,None
152,163559,8,10/02/2020,Bad Number,None
153,41463,11,09/28/2020,Bad Number,None
154,97955,12,09/30/2020,Left Message,None
155,29746,8,09/28/2020,Left Message,None
156,138319,13,10/01/2020,Bad Number,None
157,164080,8,10/02/2020,Answered,No
158,18514,1,09/30/2020,Wrong Number,None
159,78918,13,09/29/2020,Left Message,None
160,151575,6,10/02/2020,Left Message,None
161,74006,12,09/29/2020,Bad Number,None
162,126494,2,10/01/2020,Left Message,None
163,8914,1,09/28/2020,Left Message,None
164,83760,15,09/29/2020,Left Message,None
165,28620,8,09/28/2020,Left Message,None
166,41208,11,09/28/2020,Left Message,None
167,53962,14,09/28/2020,Left Message,None
168,29429,8,09/28/2020,Bad Number,None
169,97961,12,09/30/2020,Bad Number,None
170,151741,6,10/02/2020,Left Message,None
171,67838,10,09/29/2020,Left Message,None
172,1613,1,09/28/2020,Left Message,None
173,34771,9,09/28/2020,Left Message,None
174,99839,12,09/30/2020,Left Message,None
175,146321,3,10/02/2020,Left Message,None
176,76116,12,09/29/2020,Left Message,None
177,131744,10,10/01/2020,Left Message,None
178,16770,1,09/30/2020,Wrong Number,None
179,151428,6,10/02/2020,Answered,Yes
