,ID,Congressional District,Call Date,Disposition,Q1
0,32539,9,09/28/2020,Answered,Refused
1,162619,7,10/02/2020,Bad Number,Undecided
2,77120,12,09/29/2020,Left Message,Undecided
3,137498,12,10/01/2020,Bad Number,Undecided
4,150741,6,10/02/2020,Left Message,Undecided
5,37683,11,09/28/2020,Left Message,Undecided
6,127627,2,10/01/2020,Left Message,Undecided
7,68310,10,09/29/2020,Left Message,Undecided
8,60572,8,09/29/2020,Left Message,Undecided
9,89203,9,09/30/2020,Answered,Refused
10,139792,15,10/01/2020,Left Message,Undecided
11,127599,2,10/01/2020,Left Message,Undecided
12,136274,12,10/01/2020,Bad Number,Undecided
13,92505,11,09/30/2020,Answered,Refused
14,8332,1,09/28/2020,Left Message,Undecided
15,62009,8,09/29/2020,Left Message,Undecided
16,82583,14,09/29/2020,Bad Number,Undecided
17,85289,15,09/29/2020,Bad Number,Undecided
18,150166,6,10/02/2020,Left Message,Undecided
19,8567,1,09/28/2020,Left Message,Undecided
20,4042,1,09/28/2020,Wrong Number,Undecided
21,129831,8,10/01/2020,Left Message,Undecided
22,55358,15,09/28/2020,Left Message,Undecided
23,105468,13,09/30/2020,Bad Number,Undecided
24,61954,8,09/29/2020,Left Message,Undecided
25,61831,8,09/29/2020,Left Message,Undecided
26,52107,14,09/28/2020,Left Message,Undecided
27,36341,10,09/28/2020,Bad Number,Undecided
28,77076,12,09/29/2020,Left Message,Undecided
29,68677,11,09/29/2020,Bad Number,Undecided
30,45275,12,09/28/2020,Left Message,Undecided
31,160947,7,10/02/2020,Left Message,Undecided
32,116191,2,10/01/2020,Left Message,Undecided
33,134133,11,10/01/2020,Bad Number,Undecided
34,129958,8,10/01/2020,Left Message,Undecided
35,143422,3,10/02/2020,Answered,Yes
36,50706,13,09/28/2020,Bad Number,Undecided
37,104948,13,09/30/2020,Answered,Yes
38,36153,10,09/28/2020,Left Message,Undecided
39,44032,12,09/28/2020,Left Message,Undecided
40,136193,12,10/01/2020,Bad Number,Undecided
41,97713,12,09/30/2020,Left Message,Undecided
42,823,1,09/28/2020,Left Message,Undecided
43,74743,12,09/29/2020,Answered,No
44,57888,15,09/28/2020,Bad Number,Undecided
45,85105,15,09/29/2020,Left Message,Undecided
46,159519,7,10/02/2020,Left Message,Undecided
47,110586,15,09/30/2020,Left Message,Undecided
48,89733,9,09/30/2020,Bad Number,Undecided
49,159535,7,10/02/2020,Left Message,Undecided
50,104176,13,09/30/2020,Left Message,Undecided
51,146860,3,10/02/2020,Bad Number,Undecided
52,110874,15,09/30/2020,Bad Number,Undecided
53,146466,3,10/02/2020,Left Message,Undecided
54,123263,2,10/01/2020,Left Message,Undecided
55,22183,1,10/01/2020,Wrong Number,Undecided
56,142249,3,10/02/2020,Left Message,Undecided
57,112943,1,10/01/2020,Answered,Yes
58,64706,9,09/29/2020,Left Message,Undecided
59,107971,14,09/30/2020,Left Message,Undecided
60,43411,12,09/28/2020,Left Message,Undecided
61,68468,10,09/29/2020,Left Message,Undecided
62,136682,12,10/01/2020,Bad Number,Undecided
63,95532,11,09/30/2020,Bad Number,Undecided
64,71981,11,09/29/2020,Left Message,Undecided
65,132959,11,10/01/2020,Left Message,Undecided
