ID,Congressional District,Call Date,Disposition,Q1
32539,9,9/28/2020,C,4 - Refused
162619,7,10/2/2020,D,
77120,12,9/29/2020,Left Message,
137498,12,10/1/2020,D,
150741,6,10/2/2020,Left Message,
37683,11,9/28/2020,Left Message,
127627,2,10/1/2020,Left Message,
68310,10,9/29/2020,Left Message,
60572,8,9/29/2020,Left Message,
89203,9,9/30/2020,C,4 - Refused
139792,15,10/1/2020,Left Message,
127599,2,10/1/2020,Left Message,
136274,12,10/1/2020,D,
92505,11,9/30/2020,C,4 - Refused
8332,1,9/28/2020,Left Message Recording,
62009,8,9/29/2020,Left Message,
82583,14,9/29/2020,D,
85289,15,9/29/2020,D,
150166,6,10/2/2020,Left Message,
8567,1,9/28/2020,Left Message Recording,
4042,1,9/28/2020,Wrong Number,
129831,8,10/1/2020,Left Message,
55358,15,9/28/2020,Left Message,
105468,13,9/30/2020,D,
61954,8,9/29/2020,Left Message,
61831,8,9/29/2020,Left Message,
52107,14,9/28/2020,Left Message,
36341,10,9/28/2020,D,
77076,12,9/29/2020,Left Message,
68677,11,9/29/2020,D,
45275,12,9/28/2020,Left Message,
160947,7,10/2/2020,Left Message,
116191,2,10/1/2020,Left Message,
134133,11,10/1/2020,D,
129958,8,10/1/2020,Left Message,
143422,3,10/2/2020,C,1
50706,13,9/28/2020,D,
104948,13,9/30/2020,C,1
36153,10,9/28/2020,Left Message,
44032,12,9/28/2020,Left Message,
136193,12,10/1/2020,D,
97713,12,9/30/2020,Left Message,
823,1,9/28/2020,Left Message Recording,
74743,12,9/29/2020,C,2 - No
57888,15,9/28/2020,D,
85105,15,9/29/2020,Left Message,
159519,7,10/2/2020,Left Message,
110586,15,9/30/2020,Left Message,
89733,9,9/30/2020,D,
159535,7,10/2/2020,Left Message,
104176,13,9/30/2020,Left Message,
146860,3,10/2/2020,D,
110874,15,9/30/2020,D,
146466,3,10/2/2020,Left Message,
123263,2,10/1/2020,Left Message,
22183,1,10/01/2020,Wrong Number,
142249,3,10/2/2020,Left Message,
112943,1,10/1/2020,C,1
64706,9,9/29/2020,Left Message,
107971,14,9/30/2020,Left Message,
43411,12,9/28/2020,Left Message,
68468,10,9/29/2020,Left Message,
136682,12,10/1/2020,D,
95532,11,9/30/2020,D,
71981,11,9/29/2020,Left Message,
132959,11,10/1/2020,Left Message,
126624,2,10/1/2020,Left Message,
43060,12,9/28/2020,Left Message,
23169,1,10/01/2020,Wrong Number,
36296,10,9/28/2020,C,1
22455,1,10/01/2020,Wrong Number,
79668,13,9/29/2020,C,2
81536,14,9/29/2020,Left Message,
155952,6,10/2/2020,C,2 - No
47741,12,9/28/2020,D,
126926,2,10/1/2020,Left Message,
156270,6,10/2/2020,Left Message,
113486,1,10/1/2020,C,4 - Refused
87364,8,9/30/2020,Left Message,
90808,10,9/30/2020,Left Message,
4065,1,9/28/2020,Wrong Number,
140176,15,10/1/2020,C,1
133379,11,10/1/2020,D,
163095,8,10/2/2020,Left Message,
4848,1,9/28/2020,Wrong Number,
129955,8,10/1/2020,D,
43945,12,9/28/2020,Left Message,
94449,11,9/30/2020,Left Message,
35054,10,9/28/2020,D,
161416,7,10/2/2020,Left Message,
41049,11,9/28/2020,D,
138368,13,10/1/2020,D,
82606,14,9/29/2020,Left Message,
53398,14,9/28/2020,D,
34563,9,9/28/2020,Left Message,
2889,1,9/28/2020,Wrong Number,
84157,15,9/29/2020,Left Message,
41144,11,9/28/2020,Left Message,
151138,6,10/2/2020,Left Message,
133342,11,10/1/2020,D,
114783,1,10/1/2020,C,2 - No
85020,15,9/29/2020,C,4 - Refused
108387,14,9/30/2020,D,
43141,12,9/28/2020,C,2 - No
69655,11,9/29/2020,Left Message,
151988,6,10/2/2020,C,4 - Refused
135159,11,10/1/2020,Left Message,
56210,15,9/28/2020,D,
97207,12,9/30/2020,C,4 - Refused
76939,12,9/29/2020,Left Message,
157766,7,10/2/2020,D,
113097,1,10/1/2020,C,2
26036,1,10/01/2020,Wrong Number,
35990,10,9/28/2020,D,
121661,2,10/1/2020,Left Message,
30701,8,9/28/2020,Left Message,
130198,8,10/1/2020,D,
24928,1,10/01/2020,Wrong Number,
96486,11,9/30/2020,Left Message,
23624,1,10/01/2020,Wrong Number,
68743,11,9/29/2020,Left Message,
145983,3,10/2/2020,D,
26587,1,10/01/2020,Wrong Number,
24560,1,10/01/2020,Wrong Number,
154765,6,10/2/2020,Left Message,
115947,2,10/1/2020,Left Message,
124158,2,10/1/2020,Left Message,
158004,7,10/2/2020,Left Message,
150353,6,10/2/2020,Left Message,
100193,12,9/30/2020,Left Message,
159513,7,10/2/2020,Left Message,
14810,1,9/29/2020,Wrong Number,
15215,1,9/29/2020,Wrong Number,
22658,1,10/01/2020,Wrong Number,
131576,9,10/1/2020,D,
30853,8,9/28/2020,C,4
62486,8,9/29/2020,D,
149718,6,10/2/2020,Left Message,
143807,3,10/2/2020,Left Message,
1631,1,9/28/2020,Wrong Number,
156964,6,10/2/2020,Left Message,
161850,7,10/2/2020,Left Message,
36514,10,9/28/2020,D,
93421,11,9/30/2020,D,
3946,1,9/28/2020,Wrong Number,
99231,12,9/30/2020,C,4 - Refused
38294,11,9/28/2020,Left Message,
128925,8,10/1/2020,Left Message,
160709,7,10/2/2020,Left Message,
35778,10,9/28/2020,Left Message,
132380,10,10/1/2020,D,
93606,11,9/30/2020,D,
163559,8,10/2/2020,D,
41463,11,9/28/2020,D,
97955,12,9/30/2020,Left Message,
29746,8,9/28/2020,Left Message,
